date,1. open,2. high,3. low,4. close,5. volume
2020-03-10 09:50:00,276.3,276.74,276.2026,276.73,176449.0
2020-03-10 09:51:00,276.25,277.28,276.25,277.28,184711.0
2020-03-10 09:52:00,277.27,277.41,276.96,276.96,161266.0
2020-03-10 09:53:00,277.05,277.289,276.5666,277.289,147643.0
2020-03-10 09:54:00,277.6,278.1907,277.6,278.1907,180606.0
2020-03-10 09:55:00,278.438,278.7099,278.438,278.7099,179895.0
2020-03-10 09:56:00,278.779,279.725,278.779,279.725,283367.0
2020-03-10 09:57:00,279.8,279.8,279.46,279.5387,182876.0
2020-03-10 09:58:00,279.53,279.639,279.1904,279.639,162588.0
2020-03-10 09:59:00,279.65,280.1,279.65,279.81,352907.0
2020-03-10 10:00:00,279.31,280.07,279.19,279.22,175585.0
2020-03-10 10:01:00,279.19,279.28,278.22,278.43,218468.0
2020-03-10 10:02:00,278.43,279.37,278.43,279.09,603436.0
2020-03-10 10:03:00,279.1,280.31,279.1,280.1101,238778.0
2020-03-10 10:04:00,280.09,280.64,280.0,280.35,172659.0
2020-03-10 10:05:00,280.35,280.48,279.91,279.92,158356.0
2020-03-10 10:06:00,279.97,280.09,279.16,279.2594,164310.0
2020-03-10 10:07:00,279.3,279.8223,279.23,279.71,139259.0
2020-03-10 10:08:00,279.718,280.36,279.6677,279.93,168312.0
2020-03-10 10:09:00,280.17,280.17,279.77,280.12,130282.0
2020-03-10 10:10:00,280.12,280.44,279.8,280.24,107203.0
2020-03-10 10:11:00,280.27,280.89,280.1293,280.58,183612.0
2020-03-10 10:12:00,280.5733,281.07,280.12,280.84,191329.0
2020-03-10 10:13:00,280.9,281.5695,280.86,281.31,172698.0
2020-03-10 10:14:00,281.3038,281.6,281.12,281.41,187032.0
2020-03-10 10:15:00,281.46,281.83,281.28,281.5609,164826.0
2020-03-10 10:16:00,281.54,281.83,281.0,281.125,178299.0
2020-03-10 10:17:00,281.17,281.5,280.52,280.5899,180557.0
2020-03-10 10:18:00,280.5608,281.1058,280.5101,280.65,126456.0
2020-03-10 10:19:00,280.63,281.35,280.63,281.115,116906.0
2020-03-10 10:20:00,281.12,281.45,280.59,280.8643,152968.0
2020-03-10 10:21:00,280.79,281.63,280.79,281.53,137922.0
2020-03-10 10:22:00,281.5,281.7002,281.15,281.585,144380.0
2020-03-10 10:23:00,281.6099,281.73,280.89,281.0,139921.0
2020-03-10 10:24:00,280.99,281.0,280.45,280.6528,137828.0
